audio_id	sentence
<<<<<<< HEAD
220813-165251_loz_969_elicit_0	ha sa li siya feela nja ya ineela ku ca nama yeo 
220813-165251_loz_969_elicit_1	mulen a zona ha fita a tonda nama mi a li buza a halifileali 
220813-165251_loz_969_elicit_2	nama ya ka i cilwe ki mañi haiy o fateni 
220813-165251_loz_969_elicit_3	nja ya alaba ka mukwa o bonahaza kuli ne i komokile 
220813-165251_loz_969_elicit_4	konji haiba i ngilwe ha ne ni nze ni bapala kwande ni luwawa 
220813-165251_loz_969_elicit_5	luwawa iwa halifa hahulu ha lu utwa cwalo mi iwa li ku nja u bulela maaka ki wena ya i cile ni nze ni ku bona 
220813-165251_loz_969_elicit_6	a mu bone malen a ka ki yo u sa tampakani mali kwa mulomo 
220813-165251_loz_969_elicit_7	munna yoo ki ha se a kwaula nja mi a i nata habutuku 
220813-165251_loz_969_elicit_8	nja ya nyemela hahulu luwawa bakeni sa taba yeo 
220813-165251_loz_969_elicit_9	mi hamulahonyana nja ya nyisa luwawa ya lu leleka mwa hae mi ya lu tobosa kuli i ta lu luma hahulu haiba lu kutela mwa hae 
220813-165251_loz_969_elicit_10	ku zwa foo luwawa iwa saba ku pila ninja 
220813-165251_loz_969_elicit_11	mi ni yona nja i itamile ku lelekisa luwawa ni ku lu bulaya ha i lu swala 
220813-165251_loz_969_elicit_12	kakuli i sa hupula matibili a yona a na tahisizwe ki busawana bwa luwawa 
220813-165251_loz_969_elicit_13	ku bonahaza butoto kuli tou butuna bwa yona ni maata a yona i saba peba kono ki niti 
220813-165251_loz_969_elicit_14	batu ba bañwi ba li tou i saba peba kakuli i hupula kuli peba i ta kena mwa munwana wa yona ni ku i pulumukisa 
220813-165251_loz_969_elicit_15	ku tahile cwana ka nako ye nwi tou ne i na ni limbongola le ne li pala ku fola kwa liutu 
220813-165251_loz_969_elicit_16	ibile zazi le liñwi peba ya bona tou i swabile ka baka la butuku bwa limbongola leo 
220813-165251_loz_969_elicit_17	mawe bo tou mu swabisizwe kin kwa buza peba 
220813-165251_loz_969_elicit_18	ki ha tou i bulelela peba bakeni sa maswenycho a yona 
220813-165251_loz_969_elicit_19	peba ya li ni ta lika ku mi tusa 
220813-165251_loz_969_elicit_20	mi kapilipili ya kala ku alafa sitombo seo 
220813-165251_loz_969_elicit_21	ne ku si ka fita mazazi a mañata liutu la tou la ba mbubombubo mi tou ya sepisa ku lifa peba bakeni sa buikatazo bwa yona 
220813-165251_loz_969_elicit_22	mi peba ha i to shongolola kwa mulatu wa yona tou ya i bulelela kuli i te i tahe zazi li sili 
220813-165251_loz_969_elicit_23	mi tou ya picauka cwalo ka mazazi a manata 
220813-165251_loz_969_elicit_24	ni wale tou ka ku sa sepahala ya saba ha i bona peba kakuli i hupula kuli i ka i buza mulatu wa yona 
220813-165251_loz_969_elicit_25	kwa kale kale tutwa ne i na ni mulala o mukuswani sina wa sukulu 
220813-165251_loz_969_elicit_26	zazi le liñwi tutwa ha i katana mulikan a yona sukulu ya mu bulelela kuli bucwañi ne bu baba 
220813-165251_loz_969_elicit_27	sukulu ya lumela mi ya li lifolofolo ki ze nata hahulu ze bu hatikela 
220813-165251_loz_969_elicit_28	mi ni sepa kuli ne kaba bunde kuli lu cange matali a manca a kwa njongonjongo ya likota 
220813-165251_loz_969_elicit_29	a lu kupe mulikan a luna mutu kuli a lu tuse 
220813-165251_loz_969_elicit_30	ba kala ku bata mutu 
220813-165251_loz_969_elicit_31	kwa nalule lule za mu fumana mi za mu taluseza mapalelwi a zona kaufela 
220813-165251_loz_969_elicit_32	hal ha mutu a seha foo ku bunolo 
220813-165251_loz_969_elicit_33	mu yo kuta kamuso musihali mi ni ka to mi fa mulyani o ta fetula mahutu ni milala 
220813-165251_loz_969_elicit_34	ya mina butelele kuli mu kone ku fita kwa njongo njongo ya likota 
220813-165251_loz_969_elicit_35	ha busa tutwa ya fita ka nako ye ne tomilwe 
220813-165251_loz_969_elicit_36	ki ha mutu a fa tutwa mulyani kaufela mi tutwa ha i nze i ca mulyani 
220813-165251_loz_969_elicit_37	mautu ni mulala wa yona za hula kuli mane ya kona ku ca ndepundepu ye kwa halimw a likota 
220813-165251_loz_969_elicit_38	ha ku se ku fitile nako ye telele sukulu ya fita kono ya fumana kuli mulyani u felile 
220813-165251_loz_969_elicit_39	sukulu ya hupula kuli mutu na puma mi ya fela hahulu pilu 
220813-165251_loz_969_elicit_40	ku tuha foo sukulu i toile hahulu mutu kuli mane ha i mu katana mwa macacani haisi kuli i mu matise 
220813-165251_loz_969_elicit_41	kale kale kwa simuluho liñau ne li swana ni tau kwa mubala 
220813-165251_loz_969_elicit_42	mi liñau ne li swabile hahulu ku bona kuli ne si le linde sina tutwa ni pizi ya mwa naheni 
220813-165251_loz_969_elicit_43	kono ne li si ka zibisa lifolofolo ze nwi 
220813-165251_loz_969_elicit_44	ka zazi le linwi liñau ha li nze li pota pota la katana noha 
220813-165251_loz_969_elicit_45	noha ya li mawe liñau ha ni i kutwi hande mi a ni na mutusi 
220813-165251_loz_969_elicit_46	linau la li ha ku makazi u sibupiwa se si situhu se si sabwa ki lifolofolo kaufela 
220813-165251_loz_969_elicit_47	kono kakuli wa kula ni ka ku tusa hona fa feela 
220813-165251_loz_969_elicit_48	liñau la kulisa noha ku fitela mane ya tuscha 
220813-165251_loz_969_elicit_49	ka kutisa buitumelo noha ya li ni ka ku fa s o lata kaufela ili ku itebuha bakeni sa musa wa hao 
220814-153226_loz_006_elicit_0	kale linyunywani ni bo sikampafwa ne ba isweli bulikani 
220814-153226_loz_006_elicit_1	ka linako zeo linyunywani ni bo sikampafwa me li sa koni ku fufa 
220814-153226_loz_006_elicit_2	mi hape ne li sa koni ku opela hamunati sina nako ye 
220814-153226_loz_006_elicit_3	linyunywani hamoho ni bo sikampafwa ne li nze li swenywa ki lila za zona 
220814-153226_loz_006_elicit_4	likaze mi ne nze li shwa ka buñata 
220814-153226_loz_006_elicit_5	mwa hala manyando a cwalo ze nyinyani ze ne li siyezi za kopana hamoho 
220814-153226_loz_006_elicit_6	ku kupa mubupi wa zona kuli a li tuse ku punyuha kwa lila za zona kakuli likaze ne li na ni butali ni mata ku li fita 
220814-153226_loz_006_elicit_7	ki ha mubupi a nga mu zuzunyana ku nahana bakeni sa pilaelo ya zona 
220814-153226_loz_006_elicit_8	mi wale ki ha fa linyunywani ni bo sikampafwa mafufa kuli li kone ku fufa ni ku punyuha kwa lila za zona 
220814-153226_loz_006_elicit_9	ha li se li filwe mpo yeo linyunywani za taba hahulu mane za felela 
220814-153226_loz_006_elicit_10	mwa halimu ku opela lipina za buitumelo zeo li sa opelwa ki zona ni kacenu 
220814-153226_loz_006_elicit_11	ka ku tokwa lizwalo bo sikampafwa ba hasana ba si ka itumela ku mubupi wa bona 
220814-153226_loz_006_elicit_12	cwale muñ a bona a li mina bo sikampafwa ni ha mu fufa fufa cwalo a mu sa na ku lumelelwa 
220814-153226_loz_006_elicit_13	ku kopana ni linyunywani ze nwi kakuli ha mu na buitumelo mi ku zwa ona fa 
220814-153226_loz_006_elicit_14	mu ka fufafufanga busihu linyunywani ha li lobezi ha ku sina lizazi le li kanyeza lifasi 
220814-153226_loz_006_elicit_15	kwa simuluho tapi ne i pila fa likamba sina libupiwa ze twi 
220814-153226_loz_006_elicit_16	kono tapi ne i na ni mikwa ye maswe kakuli kamita ne i tabela hahulu ku beteka libupiwa ze ñwi 
220814-153226_loz_006_elicit_17	mi ne lata ku bona ha li omana 
220814-153226_loz_006_elicit_18	kwa nalule lule lifolofolo ze twi za nyema mane za be za lela ku bulaya mubeteki yoo tapi 
220814-153226_loz_006_elicit_19	za i swala ni ku tamelela lulimi iwa yona kwa mutahali kuli i be sisupo kwa babeteki kaufela 
220814-153226_loz_006_elicit_20	hamulaho za i hohela kwa munanga wa nuka kuli i yo shwela kwa teni 
220814-153226_loz_006_elicit_21	busihu ha bu se bu kolile tapi ya i tukulula fo me zi i tamelezi mi ya wela mwa mezi 
220814-153226_loz_006_elicit_22	ka mukwa o cwalo ya punyuha koto ya lifu 
220814-153226_loz_006_elicit_23	mi ni ka nako ye i sa hupula kuli mwa maipato a yona ki mo kunde ku fita fa likamba 
220814-153226_loz_006_elicit_24	ne i sa koni ku itusisa lulimi iwa yona ka nako ye telele kuli mane iwa nyamalala mi ha lu sa tola lu kuta 
220814-153226_loz_006_elicit_25	kono nihakulicwalo tapi i tabile kakuli ha i koni ku fapanya libupiwa ze nwi ze pila mwa mezi 
220814-153226_loz_006_elicit_26	sinuku ne li folofolo ye ne i lata hahulu ku lumbwa 
220814-153226_loz_006_elicit_27	mi bakeni sa bunde bwa sona ne si tabela hahulu ku utwa lifolofolo ha li si lumba 
220814-153226_loz_006_elicit_28	ka zazi le linwi sinuku sa bulelela luwawa ka buiku muso kuli kambe lifolofolo ze nwi ne li ze nde sina sona 
220814-153226_loz_006_elicit_29	lifasi ne li tabe li buhehile 
220814-153226_loz_006_elicit_30	luwawa ku utwa cwalo iwa nyema hahulu mi kapili pili iwa hupula ku sinya bunde bwa sinuku kuli lona lu be lo lunde ku si fita 
220814-153226_loz_006_elicit_31	ha mu teleze bo sinuku ku bulla luwawa ka sishemo 
220814-153226_loz_006_elicit_32	mwa macacani a ni a miutwa ku na ni mutu ya kona ku ekeza bunde bwa mina 
220814-153226_loz_006_elicit_33	a mu yo kupa tuso ku yena kono mu siye litata la mina leo la silena k u na kakuli li ta pazaulwa ki miutwa 
220814-153226_loz_006_elicit_34	luwawa ha lu se lu colauzi sinuku sa siya litata la sona la silena ni ku matela kwa macacani 
220814-153226_loz_006_elicit_35	wale sinuku ka butoto sa isunya mwa miutwa mi ya si taba kai ni kai mane sa palelwa ku itomola yona kaufela 
220814-153226_loz_006_elicit_36	ahaa aa kwa scha luwawa ka nyakalo 
220814-153226_loz_006_elicit_37	se nibona kuli a mu sa kona ku apala litata la mina la silena fa halimu a mishengela yeo cwale mun a ka ni ta ikapalela lona 
220814-153226_loz_006_elicit_38	ki ka baka leo luwawa lu na ni kubo yende ya boya mi sinuku sona sina ni miutwa feela 
220814-153226_loz_006_elicit_39	mi buinuneko bwa sona bwa felela ona foo 
220814-153226_loz_006_elicit_40	kale sifi ne si ngiwa ki lifolofolo ni linyunywani ze nwi kuli ne si na ni butali hahulu 
220814-153226_loz_006_elicit_41	kamita ha ne kubanga ni likani sifi ne si nze si bizwanga ku to atula 
220814-153226_loz_006_elicit_42	zazi le linwi shakame a taha ku sona mi a li bo ma sifi 
220814-153226_loz_006_elicit_43	ye butali ka kufitisisa ki kuhu ye nsu kapa ye sweu 
220814-153226_loz_006_elicit_44	yeo ki puzo ye bunolo sifi sa alaba 
220814-153226_loz_006_elicit_45	kuhu ye nsu i butali ku fita ye sweu kakuli i zwala mai a masweu ye sweu yona ha i koni ku zwala a mansu 
220814-153226_loz_006_elicit_46	ni itumezi hahulu bo ma sifi kwa bulela shakame 
220814-153226_loz_006_elicit_47	cwale haiba mu butali kana mwa kona ku zwala mai a mansu 
220814-153226_loz_006_elicit_48	luli na kona sifi sa alaba ki ha se siya kwa musima o fa kaufi ku yo zwala 
220814-153226_loz_006_elicit_49	eshee ka bumai sa zwala li le lisweu 
220820-113505_loz_006_elicit_0	a man o ipiha ku mubusisi a yo kalela taba ya hae kwa mukakani ili ona munzi wa habo nongolo kwa sefula 
220820-113505_loz_006_elicit_1	ha fita ku sipato kwa mukakani a buza zazi la a fundukile nongolo 
220820-113505_loz_006_elicit_2	bashemi ba nongolo ka ku sa ziba ku bala mazazi a sikuwa ba palelwa ku alaba ziki 
220820-113505_loz_006_elicit_3	kono ba li munyan a hae kwa mission mwendi u ta kona ku ziba luna lu ziba fecla kuli u fundukile ka kandao kapa mbuwana 
220820-113505_loz_006_elicit_4	sandala a yo bizwa kwa sikolo ku to paka sa ziba 
220820-113505_loz_006_elicit_5	sandala a talusa kuli bo nongolo ni basali ba bona ba fundukile mwa hae la 29 lungu 1945 mi a li ni yena na ba sindeketite 
