audio_id,recording_lang,BitsPerSample,durationMsec,speaker_gender,mother_tongue
220824-212101_toi_0ae_elicit_0,toi,16,5558,Male,toi
220824-212101_toi_0ae_elicit_1,toi,16,6034,Male,toi
220824-212101_toi_0ae_elicit_10,toi,16,3176,Male,toi
220824-212101_toi_0ae_elicit_11,toi,16,2858,Male,toi
220824-212101_toi_0ae_elicit_12,toi,16,5240,Male,toi
220824-212101_toi_0ae_elicit_13,toi,16,4764,Male,toi
220824-212101_toi_0ae_elicit_14,toi,16,8485,Male,toi
220824-212101_toi_0ae_elicit_15,toi,16,7645,Male,toi
220824-212101_toi_0ae_elicit_16,toi,16,3970,Male,toi
220824-212101_toi_0ae_elicit_17,toi,16,3493,Male,toi
220824-212101_toi_0ae_elicit_18,toi,16,3403,Male,toi
220824-212101_toi_0ae_elicit_19,toi,16,4628,Male,toi
220824-212101_toi_0ae_elicit_2,toi,16,5671,Male,toi
220824-212101_toi_0ae_elicit_20,toi,16,3425,Male,toi
220824-212101_toi_0ae_elicit_21,toi,16,2790,Male,toi
220824-212101_toi_0ae_elicit_22,toi,16,3561,Male,toi
220824-212101_toi_0ae_elicit_23,toi,16,6511,Male,toi
220824-212101_toi_0ae_elicit_24,toi,16,6284,Male,toi
220824-212101_toi_0ae_elicit_25,toi,16,2881,Male,toi
220824-212101_toi_0ae_elicit_26,toi,16,6193,Male,toi
220824-212101_toi_0ae_elicit_27,toi,16,3834,Male,toi
220824-212101_toi_0ae_elicit_28,toi,16,3856,Male,toi
220824-212101_toi_0ae_elicit_29,toi,16,5308,Male,toi
220824-212101_toi_0ae_elicit_3,toi,16,5059,Male,toi
220824-212101_toi_0ae_elicit_30,toi,16,2246,Male,toi
220824-212101_toi_0ae_elicit_31,toi,16,2813,Male,toi
220824-212101_toi_0ae_elicit_32,toi,16,7623,Male,toi
220824-212101_toi_0ae_elicit_33,toi,16,3788,Male,toi
220824-212101_toi_0ae_elicit_34,toi,16,6057,Male,toi
220824-212101_toi_0ae_elicit_35,toi,16,2835,Male,toi
220824-212101_toi_0ae_elicit_36,toi,16,2972,Male,toi
220824-212101_toi_0ae_elicit_38,toi,16,4923,Male,toi
220824-212101_toi_0ae_elicit_39,toi,16,3062,Male,toi
220824-212101_toi_0ae_elicit_4,toi,16,4923,Male,toi
220824-212101_toi_0ae_elicit_40,toi,16,4923,Male,toi
220824-212101_toi_0ae_elicit_41,toi,16,5013,Male,toi
220824-212101_toi_0ae_elicit_42,toi,16,1973,Male,toi
220824-212101_toi_0ae_elicit_43,toi,16,2881,Male,toi
220824-212101_toi_0ae_elicit_44,toi,16,3198,Male,toi
220824-212101_toi_0ae_elicit_45,toi,16,3811,Male,toi
220824-212101_toi_0ae_elicit_46,toi,16,3924,Male,toi
220824-212101_toi_0ae_elicit_47,toi,16,3788,Male,toi
220824-212101_toi_0ae_elicit_48,toi,16,3834,Male,toi
220824-212101_toi_0ae_elicit_49,toi,16,4764,Male,toi
220824-212101_toi_0ae_elicit_5,toi,16,4242,Male,toi
220824-212101_toi_0ae_elicit_6,toi,16,5694,Male,toi
220824-212101_toi_0ae_elicit_7,toi,16,5558,Male,toi
220824-212101_toi_0ae_elicit_8,toi,16,4015,Male,toi
220824-212101_toi_0ae_elicit_9,toi,16,4197,Male,toi
220825-172540_toi_0ae_elicit_0,toi,16,2359,Male,toi
220825-172540_toi_0ae_elicit_1,toi,16,2314,Male,toi
220825-172540_toi_0ae_elicit_10,toi,16,1520,Male,toi
220825-172540_toi_0ae_elicit_11,toi,16,4310,Male,toi
220825-172540_toi_0ae_elicit_12,toi,16,1996,Male,toi
220825-172540_toi_0ae_elicit_13,toi,16,4038,Male,toi
220825-172540_toi_0ae_elicit_14,toi,16,3244,Male,toi
220825-172540_toi_0ae_elicit_15,toi,16,1792,Male,toi
220825-172540_toi_0ae_elicit_16,toi,16,2767,Male,toi
220825-172540_toi_0ae_elicit_17,toi,16,3879,Male,toi
220825-172540_toi_0ae_elicit_18,toi,16,2813,Male,toi
220825-172540_toi_0ae_elicit_19,toi,16,3062,Male,toi
220825-172540_toi_0ae_elicit_2,toi,16,2382,Male,toi
220825-172540_toi_0ae_elicit_20,toi,16,2472,Male,toi
220825-172540_toi_0ae_elicit_21,toi,16,2291,Male,toi
220825-172540_toi_0ae_elicit_22,toi,16,2609,Male,toi
220825-172540_toi_0ae_elicit_23,toi,16,4242,Male,toi
220825-172540_toi_0ae_elicit_24,toi,16,1724,Male,toi
220825-172540_toi_0ae_elicit_25,toi,16,1724,Male,toi
220825-172540_toi_0ae_elicit_26,toi,16,2926,Male,toi
220825-172540_toi_0ae_elicit_27,toi,16,1905,Male,toi
220825-172540_toi_0ae_elicit_28,toi,16,3788,Male,toi
220825-172540_toi_0ae_elicit_29,toi,16,6579,Male,toi
220825-172540_toi_0ae_elicit_3,toi,16,3380,Male,toi
220825-172540_toi_0ae_elicit_30,toi,16,7010,Male,toi
220825-172540_toi_0ae_elicit_31,toi,16,1588,Male,toi
