	audio_id	sentence	BitsPerSample	durationMsec	sampleRate
0	220912-145955_toi_707_elicit_1.wav	ibiyo biyo kunyina notuya kusumpuka pe 	16	2813	16000
1	220912-145955_toi_707_elicit_6.wav	kwategwa ngu moonga mbwazibide bantu mboonga buumba bwakujaya buumba 	16	10572	16000
2	220912-145955_toi_707_elicit_7.wav	mana muzyamba kubaangamana zyamba lwiinga wakali kwiingilila bazovu 	16	10345	16000
3	220912-145955_toi_707_elicit_8.wav	ngu mweembangumweembatukali milimo muyumu nkaambo wakazyalwa cilimo 	16	9143	16000
4	220912-145955_toi_707_elicit_9.wav	lwiindi wakazyalwa iyalwiindi lutaindwi panda nakuweza mwanaa muntu muwezi 	16	9982	16000
5	220912-145955_toi_707_elicit_10.wav	nacibanga ngowakatalika cilengwa cakubangwa ku njola nkokwakali kuyolelwa mafuwa 	16	9642	16000
6	220912-145955_toi_707_elicit_12.wav	ku namwala bbwe lyamwala talibonwi ku kalonga nkokwakamanina banta kulonga 	16	10050	16000
7	220912-145955_toi_707_elicit_14.wav	ku chalimbana nkokuli milonga nkwilimbene lakomena luumbo iwabampile ku luumbo 	16	10277	16000
8	220912-145955_toi_707_elicit_15.wav	mu choma mumwa chooma mwaali kabucesya cooma kacidima 	16	10731	16000
9	220912-145955_toi_707_elicit_16.wav	djombe zyavula mucisi akaambo kabantu bavula kapati kwiinda kaindi 	16	6715	16000
10	220912-145955_toi_707_elicit_17.wav	muntu omwe omwe uukwete ulayanda kuba abasune bakulimya ampwizi zyakukama 	16	11275	16000
11	220912-145955_toi_707_elicit_18.wav	ncotujana ncakuti bwizu bwanombe tabuko nombe mafuwa aalo akaambo kakubula cakulya 	16	14043	16000
12	220912-145955_toi_707_elicit_19.wav	cinga cilagwasya mbuli mbotwaamba kale mu cibalo fifitini nkutalika zimbi mpindu 	16	9324	16000
13	220912-145955_toi_707_elicit_20.wav	tutabi balimi abavubi banjombe toonse syokwe lyapya nombe zilabula bwizu bwakucela 	16	13068	16000
14	220912-145955_toi_707_elicit_21.wav	bwizu buli sun tabukutyi njombe pe nkakaambo kaako kunyina bategwa mbasune kuli buyo tusune 	16	10958	16000
15	220912-145955_toi_707_elicit_23.wav	kayi inga nzala takajaya syokwe lyapya miisamu bana babanyama abana babayuni balapidilizya 	16	14134	16000
16	220912-145955_toi_707_elicit_25.wav	basa katubaa lubomba 	16	2472	16000
17	220912-145955_toi_707_elicit_26.wav	banene balaa myaka makumi osanwe akwiinda balyaamba kuti mbapati nimbona busiku mbaasiindwi twaansi 	16	12251	16000
18	220912-145955_toi_707_elicit_27.wav	zyaamba bamwi batali bamisela yabo kwategwa nayabwana 	16	7282	16000
19	220912-145955_toi_707_elicit_30.wav	munene katowa watuma mwana kuya kuteka meenda 	16	6692	16000
20	220912-145955_toi_707_elicit_31.wav	mwana weenzya lubilo meenda waaleta 	16	3743	16000
21	220912-145955_toi_707_elicit_33.wav	ookoona mumpako yabbwe basuntwe wabaatula 	16	8212	16000
22	220912-145955_toi_707_elicit_34.wav	omuluminkombo mucembele wakeela milonga 	16	3993	16000
23	220912-145955_toi_707_elicit_35.wav	meenda taalumbwi nkulumba misyozi mulumi baama 	16	4764	16000
24	220912-145955_toi_707_elicit_36.wav	bulimo uleenda kumazuba wabona cibaanga ngusyaanza 	16	6897	16000
25	220912-145955_toi_707_elicit_39.wav	bantu bamumunzi babungana babweza masumo 	16	4287	16000
26	220912-145955_toi_707_elicit_41.wav	bajana syaanza tako nciteo buyo bamuweela bati wiide kufwa bukandu bwalo 	16	12750	16000
27	220912-145955_toi_707_elicit_42.wav	boonekana baakugonka ziyako musyokwe bapiluka 	16	7509	16000
28	220912-145955_toi_707_elicit_43.wav	bakaintu babapa cibwantu bali kumilimo 	16	4764	16000
29	220912-145955_toi_707_elicit_44.wav	kwaca baunka kuya kukufunda loozi akutema mbalo musyokwe 	16	6465	16000
30	220912-145955_toi_707_elicit_45.wav	basusa ziyako basya lulindi baimika zivako 	16	7577	16000
31	220912-145955_toi_707_elicit_47.wav	pesi wavwilla uulaa panda wati katuyaka buyo tuliibona mbwiitibe yamana 	16	11003	16000
32	220912-145955_toi_707_elicit_48.wav	makondo waulisya basune makumi otatwe 	16	3516	16000
33	220912-145955_toi_707_elicit_49.wav	wajana mali myaande amakumi one amakumi osanwe ampondo 	16	7532	16000
34	221210-181328_toi_b9a_elicit_8.wav	mwalumi a cilezu ca sikkaka ulikkede mu mbali a nzilas nzila kakuli ma bbeke kumabali oonse 	16	9619	16000
35	221210-181328_toi_b9a_elicit_9.wav	si kupenta usamide cisani ci tuba uli a kupenta ci fwanikiso anze kakuli a bana bali a kuobana a kwenda enda 	16	9120	16000
36	221210-181328_toi_b9a_elicit_10.wav	mukaintu ulinvwi mu ncikini uli akulya bata kuzwa mu ka bbo a choncho wa cisamu 	16	9415	16000
37	221210-181328_toi_b9a_elicit_11.wav	mubwa usalala salala ujisi ca kusobanisya ca nyazabili kumulomo wakwe 	16	7191	16000
38	221210-181328_toi_b9a_elicit_12.wav	masiku mwalumi usamide vesiti yanyanzabili uli a kulagilizya dambwa lya manzi a kabunga kabantu kulubazu lumbi 	16	10753	16000
39	221210-181328_toi_b9a_elicit_13.wav	musimbi wanvwa kutontola namana kuzwa mu kalonga ka manzi nkabela ba muvumba a tawelo 	16	10663	16000
40	221210-181328_toi_b9a_elicit_14.wav	bantu bobilon balikkede a dangamwa kulangilizya malundu avumbidwe a caanda 	16	7191	16000
41	221210-181328_toi_b9a_elicit_15.wav	musimbi ujisi bbanjo a musankwa ujisi a mbulela balikkede kumbele a mupanda mumbali a nzila 	16	7781	16000
42	221210-181328_toi_b9a_elicit_16.wav	mulombwana usamide jansi lya cikambwe a luwaile ku kutwi kwakwe kwa lulyo 	16	5490	16000
43	221210-181328_toi_b9a_elicit_17.wav	ulelede mwana ujisi peni mumanza kazingaila a cibbokisi zyonse zyobilo zisitilidwe a pulanga 	16	11048	16000
44	221210-181328_toi_b9a_elicit_18.wav	mukaintu usamide zisaninzi salala a zisiya ulinvwi kunembo a ng anda kali kuma kasensa 	16	8870	16000
45	221210-181328_toi_b9a_elicit_19.wav	babwa basiya bali kutijana mu munda wa bwizu 	16	4242	16000
